Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,27637,28254,28655,28907,29094,29268,29458,29631,29804,29988,30178,30401,30634,30889,31065,31150,31111,30989,30834,30753,30805,31047,31457,31912,32227,32303,32055,31571,31104,30993,31491,32693,34482,36633,38785,40708,42294,43615,44757,45856,47012,48252,49506,50707,51712,52456,52897,53084,53107,53114,53202,53400,53692,54047,54407,54743,55048,55331,55601,55869,
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,4347397,4439158,4535392,4636172,4741531,4851554,4964716,5080808,5202606,5333938,5476624,5630097,5790324,5951120,6104372,6242889,6369361,6482156,6565176,6597853,6568232,6472946,6324850,6149027,5980036,5846317,5747658,5686380,5695338,5814530,6067693,6477343,7024452,7639817,8227017,8718033,9082948,9344885,9553496,9784257,10090447,10489236,10958666,11466237,11962961,12414591,12809158,13161569,13496554,13850754,14249753,14702051,15196503,15715313,16231996,16727437,17196083,17644266,18079105,18512029,
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,2691226,2723766,2764438,2805997,2838112,2854423,2851076,2833450,2815633,2817065,2851562,2924180,3030666,3160896,3300084,3437423,3569882,3700911,3832757,3969805,4115191,4268943,4429523,4596502,4769227,4947171,5130465,5319220,5512806,5710433,5911638,6116458,6325397,6539145,6758620,6984739,7218185,7459617,7709858,7969815,8240456,8521795,8814754,9122236,9447890,9794133,10162223,10551022,10957505,11377268,11806969,12245837,12694376,13151982,13618288,14093137,14576128,15067439,15568315,16080518,
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,781769,806619,831763,856833,881990,906689,930924,955715,983247,1012156,1038402,1064057,1091186,1117546,1143735,1170481,1196620,1223320,1248859,1273859,1300202,1326732,1355555,1385115,1414748,1443843,1470768,1498508,1525951,1569250,1603543,1604790,1610302,1617124,1620663,1617400,1605627,1586848,1564426,1543050,1525873,1509233,1506138,1504374,1502239,1497383,1489229,1478257,1466219,1454862,1445588,1438949,1433116,1426832,1420670,1414246,1410814,1409327,1406333,1401011,
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,45716042,46969153,48265242,49607120,50998483,52441568,53942656,55501218,57104977,58736777,60387019,62048161,63731742,65470341,67308404,69277195,71386994,73626614,75978737,78416286,80917486,83477702,86097190,88764622,91467575,94196175,96942175,99703025,102481960,105285969,109094446,112002337,114118527,117133255,120137006,123778393,126711349,129642315,132547067,135454021,138369764,141291516,144229738,147220567,150310848,153533823,156899286,160396825,164016315,167730243,171517983,175385780,179329048,183302098,187246459,191123765,194903053,198598089,202298464,206119753,
United Arab Emirates,ARE,"Population, female",SP.POP.TOTL.FE.IN,46149,48640,51739,55203,58662,61927,64923,67996,71883,77558,85788,96775,110436,126830,145925,167659,192026,218890,247901,278569,310458,343533,377619,412014,445799,478413,509468,539226,568501,598503,630115,663917,699752,736911,774366,811505,848999,887893,928516,971241,1016930,1063982,1113820,1173726,1253342,1358724,1492805,1651186,1823380,1994692,2154029,2298030,2428282,2544752,2648903,2742043,2823143,2891723,2950607,3003721,
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,10150762,10327989,10506343,10685344,10864241,11042735,11220250,11397725,11578202,11765722,11963002,12171703,12390593,12615984,12842562,13066624,13286643,13504150,13722167,13945151,14176262,14415897,14662611,14915337,15172422,15432264,15694882,15959637,16223444,16482395,16733717,16975912,17209621,17436836,17660732,17883601,18106090,18327455,18546980,18763440,18976066,19185012,19390960,19594322,19795650,19995563,20193901,20391130,20589211,20790605,20941910,21178884,21415097,21650186,21883730,22115261,22344847,22572521,22797803,23020216,
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,971119,1004447,1038032,1071565,1104758,1137407,1169237,1200281,1230901,1261652,1292910,1324773,1357024,1389274,1420979,1451738,1481471,1510255,1538034,1564795,1590548,1614582,1636819,1658630,1681886,1707575,1737055,1768937,1798152,1817823,1823356,1812584,1787886,1754810,1721344,1693334,1672647,1657795,1647240,1638219,1628674,1618694,1609124,1599614,1589761,1579396,1568088,1556120,1544818,1536020,1530966,1530149,1532979,1538329,1544503,1550223,1555132,1559438,1563160,1566461,
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
